municipality,latitude,longitude,surface_total_in_m2,surface_covered_in_m2,rooms,price_aprox_usd
Almagro,-34.601282,-58.418141,75.0,75.0,3.0,150000.0
Barracas,-34.6309936,-58.3734595,135.0,135.0,6.0,265000.0
Flores,-34.6205971,-58.4608572,80.0,80.0,3.0,210000.0
Boca,-34.627625,-58.360648,65.0,58.0,1.0,100000.0
Monserrat,-34.6177615,-58.383662,42.0,34.0,,76000.0
San Cristobal,-34.621321,-58.3982505,147.0,70.0,4.0,175000.0
Caballito,-34.6085504575,-58.4506525716,53.0,49.0,3.0,145000.0
Parque Centenario,-34.60808733,-58.43089266,40.0,36.0,1.0,84500.0
Once,-34.6000747136,-58.4032361233,64.0,63.0,,115000.0
Villa Crespo,-34.603438,-58.4364402,45.0,40.0,,130000.0
Belgrano,-34.5562399,-58.4587852,251.0,115.0,4.0,220000.0
Palermo,-34.5848012,-58.4115472,50.0,41.0,2.0,169000.0
Retiro,-34.5989036,-58.3782898,125.0,125.0,4.0,320000.0
Recoleta,-34.5917085,-58.3969821,75.0,69.0,,189000.0
Belgrano,-34.564511,-58.464647,146.0,119.0,4.0,350418.0
Almagro,-34.601017,-58.4313746,69.0,66.0,3.0,138000.0
San Cristobal,-34.622512,-58.388768,67.0,67.0,3.0,90000.0
Balvanera,-34.6108831,-58.4003678,40.0,40.0,,62000.0
Parque Centenario,-34.6038236,-58.4272911,74.0,74.0,4.0,138000.0
Parque Centenario,-34.6042164,-58.4351228,48.0,48.0,3.0,88000.0
Floresta,-34.6307325,-58.4815962,65.0,65.0,3.0,140000.0
Saavedra,-34.554161,-58.4905798,120.0,90.0,3.0,198000.0
Flores,-34.6186349,-58.478887,35.0,35.0,,61770.0
Liniers,-34.6507766,-58.5155958,58.0,58.0,2.0,92000.0
San Cristobal,-34.6223398871,-58.4085322312,63.0,57.0,3.0,157000.0
Caballito,-34.629478,-58.45214,45.0,40.0,1.0,91606.0
Villa Lugano,-34.6833842,-58.4750427,119.0,85.0,3.0,85000.0
Caballito,-34.6063946,-58.4632121,150.0,80.0,6.0,145000.0
Almagro,-34.6045779,-58.4231909,56.0,50.0,3.0,120000.0
Nuñez,-34.5706322,-58.4314264,99.0,89.0,,275000.0
Chacarita,-34.583784587,-58.455382866,45.0,42.0,2.0,75000.0
Caballito,-34.6087786,-58.430114,63.0,63.0,3.0,99500.0
Monserrat,-34.6144978,-58.38456,35.0,35.0,,53000.0
Balvanera,-34.6119155,-58.411536,42.0,42.0,2.0,65000.0
Belgrano,-34.5645773032,-58.4574136772,66.0,60.0,3.0,210000.0
Palermo,-34.5938779,-58.429594,51.0,46.0,,160000.0
Palermo,-34.592467,-58.410649,67.0,52.0,1.0,85900.0
Constitución,-34.6261244,-58.3859524,57.0,49.0,,103000.0
